"Translation", "Tłumaczenia"
"Add/Edit", "Dodaj/Edytuj"
"Add Translation", "Dodaj tłumaczenie"
"Save Translation", "Zapisz tłuamczenie"
"Delete Translation", "Usuń tłumaczenie"
"You saved the translation.", "Zapisałeś tłumaczenie."
"Original Text", "Oryginalny tekst"
"Translate Text", "Przetłumaczony tekst"
"Admin User Guide", "Podręcznik użytkownika administratora"
